EST;X688_arroz_1;X688_arroz_2;X688_arroz_3;X688_milho_1;X688_milho_2;X688_milho_3;CNPA_arroz_1;CNPA_arroz_2;CNPA_arroz_3;CNPA_milho_1;CNPA_milho_2;CNPA_milho_3;dieta_arroz_1;dieta_arroz_2;dieta_arroz_3;dieta_milho_1;dieta_milho_2;dieta_milho_3;fm993_arroz_1;fm993_arroz_2;fm993_arroz_3;fm993_milho_1;fm993_milho_2;fm993_milho_3;puita_arroz_1;puita_arroz_2;puita_arroz_3;puita_milho_1;puita_milho_2;puita_milho_3
SF1F00030-3-1;2.62;2.67;0;2.17;1.73;0;0.85;2.75;2.21;2.82;2.32;3.37;2.1;1.11;3.21;3.14;2.37;2.44;3.35;1.3;0;3.48;2.95;0;2.86;1.92;1.43;2.22;3.39;0.37
SF1F00109-5-1 Cluster_SF1F00013-3-1;89.06;3949.94;0;50.12;2764.5;0.7;3759.86;99.89;268.97;1069.06;86.78;108.07;2985.54;2356.92;224.18;1451.71;323.04;39.15;435.86;93.29;0.26;197.98;416.94;0;230.96;510.79;3593.11;156.62;393.68;21.9
SF1F00151-5-1 Cluster_SF1F00151-5-1;0;0;3.58;0;0;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.61;0;0;1.21;0;0;0;0;0;0.72
SF1F00157-5-1;5.31;68.24;0;4.63;58.06;0;11.77;0;2.52;5.12;0;0;112.3;6.21;0;65.21;1.14;2.81;0;7.36;0;1.28;5.68;0;2.49;2.7;35.13;2.18;6.76;0
SF1F00172-5-1 Cluster_SF1F00172-5-1;65.62;153.92;0.03;35.91;174.1;0.03;57.38;42.14;37.38;78.06;67.22;49.17;161.82;34.77;32.27;239.59;166.28;42;38.56;72.51;0.23;40.77;48.2;0.06;20.08;21.08;139.57;67.69;70.16;9.72
SF1F00199-3-1;0;1.93;0;0;0;0;0;0;0;0.92;0;0;0;0;0;2.81;1.22;0;0;1.63;0;0.23;0;0;0;0;0.72;0;0;0
SF1F00235-3-1;0.91;2.24;0;0.97;1.07;0;1.68;1.05;1.35;0.76;0.26;0.29;2.3;1.9;0;1.22;1.09;0.88;1.61;0.91;0;0.58;0.12;0;0.28;1.26;2.18;0.33;0.8;0.05
SF1F00295-5-1;3.45;34.42;0;4;41.66;0;7.84;1.4;3.11;3.55;0.77;0.86;42.86;3.54;2.52;51.73;1.21;1.98;2.56;2.92;0;1.52;5.53;0;0.87;2.01;34.08;1.93;4.76;0.22
SF1F00310-5-1 Cluster_SF1F00214-3-1;435.98;1185.45;0;448.19;262.94;0;61.83;649.63;165.78;76.17;396.77;73.78;823.78;25.24;303.01;308.51;109.05;334.5;112.42;462.57;0.22;61.53;318.4;0;316.12;33.88;966.39;417.19;163.55;17.09
SF1F00331-5-1;0;0;3.73;0;0;9.12;0;0;0;0;0;0.08;0;0;0;0;0;0;0;0;4.12;0;0.13;14.55;0;0;0;0;0;4.11
SF1F00332-5-1 Cluster_SF1F00064-3-1;5862.96;7497.68;22.29;5788.23;8191.88;6.28;4077.25;1502.39;2284.04;2075.34;735.1;324.3;11554.37;1704.92;735.52;11046.69;2472.5;928.58;1819.43;6167.9;33.44;1085.56;5463.42;7.48;1125.3;1100.23;9011.8;1472.41;2800.03;1227.96
SF1F00378-5-1 Cluster_SF1F00282-3-1;21.13;362.17;0.05;29.23;248.63;0.04;323.86;39;58.91;55.59;22.61;16.25;244.39;198.11;41.42;410.58;13.28;5.11;60.61;16.95;0.13;54.32;70.71;0;14.03;34.78;370.09;12.52;53.95;12.73
SF1F00396-3-1 Cluster_SF1F00396-3-1;320.5;206.53;0.12;285.05;432.52;0.1;178.11;160.25;159.63;253.45;295.21;64.27;183.74;46.52;77.52;440.72;371.14;153.4;136.05;346.43;1.29;103.14;286.57;0;50.06;41.97;178.1;333.72;193.74;56.87
SF1F00442-3-1 Cluster_SF1F00064-3-1;18234.3;9045.57;1.15;14287;10056.02;0.82;3359.4;2001.24;2349.79;2707.97;1328.68;681.13;10710.59;1134.64;1468.09;12559.98;3848.64;1414.13;1970.14;21271.92;62.29;1526.83;12393.06;0.68;1189.09;976.4;9695.85;3124.78;5024.86;2490.41
SF1F00482-5-1 Cluster_SF1F00386-3-1;4.28;54.51;12.84;13.11;24.32;4.93;10.8;27.16;1.72;5.56;12.38;7.15;43.93;5.42;30.67;19.05;5.41;5.61;1.01;6.38;57.95;3.4;11.46;30.96;5.83;1.15;49.4;23.06;12.19;60.71
SF1F00486-5-1 Cluster_SF9L00521;55.38;85.19;0.22;28.22;69.63;1.12;45.91;51.44;46.51;50.62;52.15;32.69;90.26;41.72;52.51;71.48;51.51;48.35;43.3;49.27;0.8;43.75;56.45;0.2;44.55;55.93;77.92;64.85;45.84;3.34
SF1F00492-5-1 Cluster_SF1F00396-3-1;927.51;383.1;0.09;407.5;491.06;0.15;381.68;416.47;409.4;401.81;333.64;157.42;399.99;116.66;304.11;388.98;505.61;305.52;333.46;1099.7;1.68;228.73;345.02;0;189.66;96.87;419.05;457.23;408.63;67.48
SF1F00495-5-1 Cluster_SF1F00399-3-1;8732.02;6395.72;1.85;7532.46;10695.15;1.13;3394.95;4595.45;4555.39;4016.73;3850.95;3428.91;5575.6;2084.14;5746.85;9046.9;4969.16;3711.31;4023.87;7757.75;25.08;3849.46;6393.09;0.69;2549.19;1638.56;8576.56;5778.98;5200.03;1091.9
SF1F00498-5-1;8.42;26.53;0;3.32;15.28;0;19.4;3.45;14.62;7.29;2.14;3.62;25.2;12.67;4.06;17.86;4.09;2.11;7.52;6.42;0.04;7.52;6.14;0;2.87;7.46;23.4;1.36;13.15;0.36
SF1F00499-5-1 Cluster_SF1F00064-3-1;2451.44;5933.3;0.2;1684.34;2056.05;0.59;1804.56;391.88;859.48;489.76;109.25;8.03;5293.51;490.5;109.22;2733.96;628.36;71.09;582.49;4442.68;4.69;256.46;1450.06;0.18;229.17;238.1;4105.01;218.96;929.31;231.57
SF1F00532-5-1 Cluster_SF1F00436-3-1;408.04;79.3;0;292.91;40.63;0;265.38;355.17;339.56;177.74;182.64;189.13;85.88;408.64;323.12;27.32;163.23;192.35;422.41;440.68;0.47;334.73;259.75;0;424.44;322.9;90.18;187.52;207.71;25.58
SF1F00543-5-1;4.88;17.02;38.95;6.21;9.34;9.89;11.7;10.91;9.4;5.17;4.12;8.98;19.4;9.57;4.06;19.82;2.98;5.18;6.77;3.31;55.96;6.36;6.58;17.88;5.4;7.52;17.74;2.11;10.15;52.46
SF1F00593-3-1 Cluster_SF9L01437;0.11;0;0;2.91;1.38;0;0.14;0.21;0.16;2.11;4.49;3.53;0.02;0.21;0;2.22;1.99;1.21;0;0.33;0;2.07;2.84;0;0.15;0.22;0.04;3.79;2.21;0.64
SF1F00644-3-1 Cluster_SF1F00644-3-1;0;0;0;24.66;62.09;0;0;0.89;1.52;42.75;48.02;72.04;0;2.84;0;27.27;8.65;75.66;7.84;2.29;0;16.28;18.93;0;0.75;2.94;0.53;116.64;29.49;4.72
SF1F00690-5-1 Cluster_SF1F00064-3-1;2396.49;4603.07;0.6;2294.68;3253.32;0.14;1608.4;72.48;398.9;826.58;120.84;9.82;6306.49;291.76;13.68;5008.8;1014.59;39.83;257.95;2300.71;7.41;146.19;2120.72;0.1;79.63;192.2;3726.72;238.96;935.35;315.53
SF1F00692-5-1 Cluster_SF1F00596-3-1;5848.94;881;0.39;459.55;491.85;17.36;215.08;16.76;2.91;30.9;1.53;0.53;3107.35;2.95;9.02;369.31;3.29;0.43;2.21;3899.72;2.11;1.53;230.55;5.5;20.67;36.47;991.83;1.23;877.02;95.71
SF1F00695-5-1 Cluster_SF1F00695-5-1;39.14;71.29;0;42.35;67.5;0.1;29.26;23.25;29.07;27.9;23.77;12.07;58.15;22.29;42;81.5;39.38;32.8;29.43;38.38;0.07;18.88;35.75;0;19.65;16.56;66.43;46.37;27.93;5.13
SF1F00742-5-1 Cluster_SF1F00397-3-1;5610.35;4027.41;0.4;1034.22;1166.09;0.39;225.39;1.59;18.18;117.38;0.9;2.83;7514.23;43.81;2.52;1146.25;19.58;0.58;12.02;6089.74;2.22;14.34;1192.39;0.2;57.29;139.68;4304.87;2.48;1773.81;92.42
SF1F00850-3-1;0.94;1.32;62.4;0.26;1.38;38.63;0.26;0.33;0.56;0.66;0.2;0.46;0.35;0.26;1.65;0.17;0.58;0.38;0.86;1.67;61.05;0.35;0.35;43.34;1.11;0.17;0.58;1.62;0.16;59.58
SF1F00873-5-1 Cluster_SF1F00397-3-1;0;0;0;1136.29;1200.95;0;0.9;0.73;0;45.33;0.9;2.01;0.26;1.05;0;1075.76;18.88;0;1.18;0.43;0.36;8.52;960.68;0;0.41;1.31;0.29;0;11.41;26.64
SF1F00884-5-1 Cluster_SF1F00884-5-1;50.25;144.29;0;8.89;88.27;0.03;96.87;30.31;34.13;35.56;23.57;13.28;171.1;29.72;29.6;109.9;36.04;21.58;13.81;36.57;0.04;12.63;17.25;0;37.74;12.89;148.7;36.89;29.09;1.72
SF1F00893-5-1 Cluster_SF1F00797-3-1;0;0;0;0;4.99;0;0;0;0;0.51;0.34;0.14;0;0.37;0;3.2;0;0;0;0;0;0;0.74;0;0;0;0;0;0.35;0.2
SF1F00929-5-1 Cluster_SF1F00064-3-1;4703.06;10644.84;1.35;2245.44;3049.01;0.77;4330.38;911.39;1891.39;1119.28;202.02;18.91;14231.78;1245.15;315.09;4988.74;948.54;80.45;1191.48;4414.19;9.69;574.76;2751.56;0.36;259.32;585.41;9869.54;356.73;2171.36;357.84
SF1F00931-5-1 Cluster_SF1F00836-3-1;0;0;13.59;0;0;93.05;0;0;0;2.19;0;0;0;0;0;0;0;0;0;0;0.53;0.46;0;12.53;0;0;0;0;0;0.85
SF1F00944-5-1;2.1;1.25;0;2.56;1.39;0;1.06;2.64;3.89;2.68;2.49;2.59;1.1;0.97;3.58;0.68;3.08;9.09;2.27;1.97;0;2.47;3.67;0;3.37;1.99;0.82;2.51;2.8;0.23
SF1F00946-5-1 Cluster_SF1F00946-5-1;63.12;105.61;212.12;39.67;116.49;103.72;61.47;30.31;45.64;48.9;29.01;24.14;119.44;37.12;22.73;112.13;46.26;29.03;29.05;46.34;165.73;29.64;41.64;125.7;17.35;22.7;102.79;43.66;50.24;154.6
SF1F00948-5-1 Cluster_SF1F00883-5-1;0;0;11.64;0;0;2.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.56;0;0;1.11;0;0;0;0;0;1.35
SF1F00971-3-1;0.6;4.19;0;0.83;0.41;0;5.46;0.88;2.48;1.03;0.59;0.61;3.31;3.44;0.82;0.21;1.82;0.69;1.82;0.85;0;1.14;0.92;0;0.53;2.1;3.78;1.64;1.13;0
SF1F00979-3-1 Cluster_SF1F00784-3-1;4024.96;1921.17;0.17;4705.4;5332.72;0.27;60.88;9.49;14.85;211.69;86.87;3.52;1244.76;10.24;2.11;4894.78;292.46;11.08;4.68;1815.78;20.78;8.22;3622.36;0;22.31;14.77;639.45;299.95;281.67;654.04
SF1F01044-3-1;0.21;0.61;0;0.07;0.6;0;0.37;0.07;0.36;0.31;0.21;0.09;0.43;0.81;0;0.51;0.68;0.54;0.08;0.06;0;0.27;0.3;0;0.11;0.39;0.43;0;0.24;0
SF1F01059-5-1;11.85;3.88;0;12.7;7.74;0;2.19;2.7;4.55;3.06;2.84;1.93;2.49;2.31;3.48;8.4;2.28;7.88;4;8.57;0;3.59;8.72;0;2.14;2.71;2.67;5.93;4.26;1.05
SF1F01081-5-1 Cluster_SF1F00443-3-1;0;0;6.33;0;0;12.42;0;0;0;0;0;0.13;0;0;0;0;0;0;0;0;5.12;0;0;11.1;0;0;0;0;0;4.07
SF1F01119-5-1 Cluster_SF9L01568;0;0.29;27.04;0;0;69.94;0.34;0;0;0;0;0;0.44;0.39;0;0.16;0;0;0.44;0;18.55;0;0;95.94;0;0;0.21;0;0;22.55
SF1F01125-5-1 Cluster_SF9L00662;1.7;0.96;0;1.65;0;0;0;0.4;0.7;1.8;0;0.5;0;0.86;1.19;0.36;1.2;4.08;1.94;6.06;0;1.92;1.74;0;4.75;0.89;0;2.32;0.62;0.47
SF1F01140-5-1;0.13;1.86;0;0.22;0.62;0;0.96;0.21;0.93;0.63;0.21;0.09;1.24;0.91;0.32;1.31;0;0;0.51;0.57;0;0.23;0.31;0;0.35;0.93;1.46;0.41;0.53;0
SF1F01149-5-1 Cluster_SF1F01053-3-1;0;0;15.78;0;0;16.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.54;0;0;13.92;0;0;0;0;0;13.94
SF1F01161-3-1;13.87;2.36;0;6.48;5.18;0;2.72;4.08;6.11;6.08;3.75;9.78;1.7;4.37;19.32;3.61;5.14;7.54;10.29;12.76;0;7.04;10.69;0;19.15;5.27;1.07;7.85;3.96;0.92
SF1F01163-3-1;13.67;22.18;0;52.63;83.6;0;6.63;5.31;8.34;18.43;26.65;13.72;21.95;3.74;8.74;93.14;32.79;29.92;4.85;10.27;0;12.36;46.04;0;4.87;4.19;22;54.38;24.18;5.45
SF1F01173-3-1 Cluster_SF1F00397-3-1;0.38;0.66;0;1885.56;1242.37;0.15;0.39;0.21;0.56;51.42;0.43;5.42;0.1;0.46;0;617.49;16.25;0;3.65;2.08;1.93;16.71;1832.2;0;1.43;0.37;0.37;1.24;16.47;67.48
SF1F01195-3-1 Cluster_SF1F01195-3-1;71.83;38.99;0;35.55;28.59;0;16.57;29.2;44.2;28.55;15.56;36.08;19.05;9.02;60.6;19.88;56.09;54.24;32;35.21;0.11;27.3;46.12;0;26.45;13.99;17.18;49.5;22.93;3.22
SF1F01228-3-1 Cluster_SF1F01228-3-1;0.64;0.37;0;1.32;0;0;1.2;0.23;1.18;0.7;0.23;1.28;0.88;0.41;3;0.2;0.59;2.7;0.94;3.59;0;0.68;0.87;0;4.45;0.42;0.27;0.85;1.71;0
SF1F01259-5-1;0;0;0;0;0;6.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.44;0;0;0;0;0;0;0;0;0.36
SF1F01295-5-1;1181.58;122.79;0.21;1717.99;298.22;0.18;161.27;794.42;434.77;543.58;1128.54;1105.58;78.81;326.37;499.74;197.46;576.25;995.87;576.07;1048.89;3.3;885.77;1773.54;0.34;807.84;503.35;213.48;1152.21;1369.04;188.36
SF1F01322-5-1;8.61;10.79;0;0.95;0.66;0;11.55;8.71;21.88;5.45;0;1.11;15.82;12.13;9.98;1.11;0.45;0;12.53;14.22;0;5.29;1.16;0;16.4;7.54;10.05;0;4.56;0
SF1F01333-5-1 Cluster_SF1F01333-5-1;0.72;10.09;0;726.02;310.61;0.09;38.32;11.17;1.11;44;14.65;26.67;4;1.44;0;589.45;351.58;0.34;4.19;158.32;4.53;23.68;141.71;0.19;0.64;4.85;11.85;49;135.59;207.35
SF1F01379-3-1 Cluster_SF1F01379-3-1;0;0;513.73;0;0;186.06;0;0;0.09;1.47;0;0.21;0;0;0.45;0;0;0;0.12;1.72;661.91;0.24;0;157.91;0;0;0.06;0;0;480.23
SF1F01396-3-1;0.3;0;0;2.5;1.43;0;0;0.24;0.42;1.46;0;0.4;0;0;0;0.22;0.48;4.94;0;0.43;0;0.36;0.7;0;0;0;0;0.94;1.25;0
SF1F01399-3-1;0.52;20.27;9.91;0.18;13.28;551.3;7.73;0.23;0.76;2.96;0;0.42;9.05;3.35;0.8;15.98;1.02;0.35;1.25;0.41;5.26;1.44;2.99;539.32;0.29;1.83;16.04;0;1.33;11.76
SF1F01483-5-1 Cluster_SF1F00443-3-1;0.13;0;0.55;359.49;319.47;0;0.6;4.57;4.22;157.53;216.72;92.89;0.1;0.24;0.67;151.67;173.49;163.53;13.52;0;2.51;87.19;292.55;0.32;1.21;4.42;0.51;274.15;140.4;59.95
SF1F01487-5-1 Cluster_SF1F01391-3-1;15.01;29.58;60.53;16.5;17.57;56.16;21.55;16.6;19.45;13.26;16.13;11.37;30.58;17.4;15.72;18.21;16.59;13.6;17.77;14.14;72.79;12.31;16;37.8;12.74;17.43;27.81;21.19;14.47;69.81
SF1F01488-5-1 Cluster_SF1F00035-3-1;3.94;530.92;0.06;13.78;935.74;0;717.11;6.86;135.13;528.21;1.55;171.78;497.83;791.08;11.03;1306.36;155.59;3.77;101.48;11.96;0.05;154.36;71.66;0.1;20.26;121.7;534.16;4.27;252.02;2.85
SF1F01513-5-1;0.85;0.71;0;23.7;74.59;0;1.73;1.75;1.04;28.56;78.8;12.42;0.39;0.79;0.71;52.59;42.54;5.38;1.4;0.83;0.11;14.53;9.09;0;0.49;1.02;0.34;59.71;27.79;2.13
SF1F01610-3-1;0.74;0.39;0;0.26;0;0;0;0.49;0.86;0.37;0;0.1;0.22;0;0.37;0.11;0.73;0.63;0.59;0;0;0.36;0.36;0;0.41;0.44;0.43;0;0.5;0
SF1F01624-3-1 Cluster_SF1F01624-3-1;9.27;2.81;0;4.17;2.96;0;2.31;3.65;4.27;3.11;1.45;3.24;1.94;2.9;5.36;2.03;2.37;2.89;4.55;8.28;0;4.13;6.37;0;5.59;5.9;2.18;2.78;4.89;0.56
SF1F01646-5-1;0.85;1.51;0;6.83;23.69;0;0;0.95;1.23;16.33;13.93;3.72;0.22;0.51;0;3.65;5.66;10.82;0;0.42;0;2.27;4.46;0;0.8;0.85;0.55;10.98;6.83;0.28
SF1F01662-5-1;4.3;5.42;0;25.52;21.55;0;3.3;2.23;5.59;24.96;24.35;41.84;2.54;4.94;3.1;22.96;26.85;11.35;10.08;9.67;0;14.82;9.49;0;4.29;3.66;4.18;14.18;13.16;1.88
SF1F01663-5-1;3220.22;1135.26;0.67;5488.37;1992.28;0.73;3423.13;2750.98;5438.46;6431.16;1322.07;9652.44;1200.05;2513.18;1667.99;1838.36;7288.48;1496.03;6157.33;1717.07;2.95;7944.6;1737.56;1.17;1763.89;4265.25;1347.76;2613.38;4060.82;108.06
SF1F01696-5-1 Cluster_SF1F01600-3-1;2.87;8.4;0;7.13;6.85;0;22.66;1.4;3.06;8.32;0;4.87;11.96;21.3;4.07;11.09;2.45;0;6.47;4.58;0;3.98;2.53;0;0;9.82;9;6.7;12.77;4.18
SF1F01706-5-1;0.89;1.71;0;0.15;0.36;0;0.76;0.86;1.14;0.28;0.11;0.03;1.62;0.55;0.57;0.22;0.15;0.19;0.52;0.86;0;0.55;0.45;0;1.07;0.71;1.45;0.29;0.73;0.07
SF1F01784-3-1 Cluster_SF1F00778-3-1;50.75;937.14;0;104.88;622.46;0.12;743.6;103.17;71.42;261.31;63.38;136.79;411.26;406.94;93.88;1175.97;44.94;30.54;66.37;134.89;0.7;87.31;214.62;0.27;41.99;126.79;893.16;112.89;212.77;46.52
SF1F01800-3-1 Cluster_SF1F00883-5-1;2.32;1.81;0;0;0;0;0;1.15;1.97;0;0;0;3.21;0;1.1;0;0;0;0;5.36;0;0;1.09;0;1.3;0;3.16;0;0.8;0
SF1F01803-3-1 Cluster_SF1F01803-3-1;13.96;7.01;0;17.25;11.62;0;4.47;3.72;11.98;24.9;7.26;16.11;4.34;7.9;5.19;6.77;21.57;10.98;16.06;25.71;0;19.64;43.24;0;7.29;22.12;5.67;5.72;21.72;1.8
SF1F01804-3-1;0.88;0.39;0;0.13;0.24;0;0;0.49;0.65;0;0;0.63;0.22;0.53;0;0.05;0.97;0;0.88;2.42;0;0.8;1.43;0;0.1;1.62;0.21;0;0.31;0
SF1F01826-5-1;15.76;58.27;0;6.99;7.17;0;60.07;7.83;52.41;19.01;2.23;3.76;49.4;41.17;13.71;11.51;9.19;3.41;38.94;27.71;0;16.8;8.79;0;14.92;42.78;50.58;4.93;21.39;0.66
SF1F01857-5-1;1.08;0.62;0;0.8;1.43;0;0.16;0.77;1.8;0;0.74;1.19;0;0.87;0.39;0.34;0.73;5.5;0.21;1.8;0;0.54;1.12;0;0.34;2.04;0.74;1.4;0.38;0.43
SF1F01863-5-1;0;0;0;0;0;0;0;0.49;0.42;0;0;0;0;0;0;0;0;14.76;0;0;0;0.76;0;0;1.74;0;0;0;1.14;0
SF1F01866-5-1;5.37;15.6;0;3.65;2.75;0;2.86;1.66;4.73;3.58;1.91;5.46;8.89;4.31;1.78;3.52;8.1;6.04;5.64;4.17;0;6.06;3.45;0;3.74;3.94;5.8;4.28;3.22;0.48
SF1F01885-5-1;7.87;2.56;0;0;0;0;1.03;1.09;8.33;0;0;0;2.55;1.17;6.15;0;0;0;5.24;4.7;0;0.8;0.77;0;2.77;2.45;1.31;0;0.57;0
SF1F01897-5-1;1.54;1.9;0.17;1.14;1.26;0.14;1.67;0.61;2.09;3.09;1.14;1.62;1.52;2.09;0.63;1.54;1.83;0.54;2.57;3.04;0;2.18;3.59;0;1.37;5.27;1.76;1.2;1.98;0.36
SF1F01906-5-1;26.17;29.04;31.38;16.39;72.32;4.74;6.68;6.86;8.07;11.84;9.82;3.96;32.29;6.31;3.07;114.06;16.31;5.95;4.8;23.67;3.64;4.94;12.07;11.77;1.54;7.17;32.58;9.3;12.02;6.95
SF1F01912-5-1 Cluster_SF1F01816-3-1;271.73;77.63;0;70.09;33.55;0;41.66;119.72;104.69;67;30.84;53.7;100.51;47.01;320.57;46.52;78.2;92.71;138.9;202.94;0;71.91;51.56;0;204.78;63.67;65.81;95.55;61.76;2.23
SF1F01940-3-1;35.92;40.65;25.09;60.66;25.16;19.31;17.96;19.46;33.77;20.37;5.84;14.25;35.24;29.89;22.29;18.58;21.79;7.79;29.82;41.82;26.93;17.16;19.94;18.45;12.15;19.46;46.79;11.56;25.81;28.42
SF1F02021-5-1 Cluster_SF1F02019-5-1;0;0;2.09;0;0;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.19;0;0;0.17;0;0;0;0;0;4.78
SF1F02053-5-1 Cluster_SF1F02053-5-1;2.23;6.53;0;0;0;0;3.47;3.69;6.3;0;0;0;3.02;4.95;3.95;0.43;0;0;1.11;3.21;0;2.38;0;0;0;2.08;4.94;0;1.45;0
SF1F02080-5-1 Cluster_SF1F02019-5-1;30.21;39.35;0;10.22;16.36;0;27.17;9.55;19;14.04;7.03;2.76;53.29;23.71;3.7;20.31;11.71;3.32;14.69;32.41;0;12.26;11.84;0;5.31;12.38;43.25;7.75;20.19;1.81
SF1F02081-5-1 Cluster_SF1F02081-5-1;2.91;5.31;0;4.73;3.94;0;6.87;3.62;6.58;7.64;2.99;4.27;2.81;6.34;6.89;4.57;1.86;4.14;3.88;3.59;0;4.98;6.02;0;1.58;7.13;5.56;3.13;5.44;0.31
SF1F02085-5-1 Cluster_SF1F01989-3-1;44.01;20.7;0;168.04;26.88;0;15.1;37.67;124.56;13.14;11.73;0.79;17.6;12.69;58.5;9.98;8.05;23.52;9.93;68.79;0;6.31;87.53;0;6.56;10.42;23.97;10.18;19.97;4.52
SF1F02093-5-1 Cluster_SF1F01997-3-1;1.84;0.88;11.3;0.68;0.86;11.87;0.6;1.53;1.35;0.33;0.89;1.38;0.3;0.23;1.66;0.2;0.65;1.7;2.37;1.17;15.86;2.31;1.22;14.49;2.05;0.87;0.63;2.6;1.11;8.67
SF1F02100-5-1 Cluster_SF1F02004-3-1;0;1.01;0;12;2.95;0;0.62;0;0;18.28;9.07;3.56;0;0;0;6.19;5.92;43.34;0;0;0;5.63;6.3;0;0;0;0;0;7.26;0
SF1F02128-3-1 Cluster_SF1F02128-3-1;48.15;22.32;0;24.08;24.46;0;15.64;35.98;21.71;43.51;64.85;44.59;18.61;9.56;68.96;27.74;65.49;56.89;29.44;54.23;0.14;32.62;14.78;0;36.7;11.45;19.64;126.28;39.48;3.55
SF1F02132-3-1;2.1;1.66;0;2.6;1.94;0;2.1;2.74;2.82;2.59;2.6;3.02;2.04;2;3.03;1.56;2.34;4.41;2.95;1.82;0;3.13;2.84;0;2.8;3.24;1.9;4.15;2.46;0.11
SF1F02141-3-1 Cluster_SF1F02141-3-1;81.78;122.82;0;19.41;23.18;0;108.04;235.5;190.7;69.52;11.67;7.74;100.49;130.41;346.38;18.62;11.19;17.88;153.77;87.57;0.07;84.64;29.33;0;184.41;105.99;130.97;38.46;53.87;4.51
SF1F02168-3-1;0;0.64;0;2.3;3.63;0;0.76;0.91;0;20.89;4.02;12.07;0.73;8.95;0;4.49;11.24;2.02;3.76;0.46;0;17.9;24.33;0;0;1.1;0.97;0;13.54;5.36
SF1F02175-3-1 Cluster_SF1F02141-3-1;180.65;160.27;0;46.88;65.46;0;122.47;10.3;196.64;66.82;24.08;12.82;93.6;82.42;354;41.24;18.22;69.9;264.16;189.77;0.26;135.44;62.41;0;146.72;48.04;126.35;124.26;85.57;10.18
SF1F02192-3-1 Cluster_SF1F02192-3-1;4.36;1.71;0;52.54;2.42;0;3.78;7.83;12.83;17.47;14.21;3.34;1.2;4.24;18.9;3.32;6.84;11.5;3.36;40.32;0;2.72;15.81;0;6.2;10.18;1.7;3.84;21.4;0.29
SF1F02213-5-1;3.3;4.34;0;4.21;4.58;0;3.59;3.7;4.74;4.95;3.6;3.56;4.39;4.2;3.76;4.62;4.98;5.8;4.01;4.05;0;4.19;3.74;0;4.25;4.52;4.36;4.9;3.6;0.19
SF1F02216-5-1 Cluster_SF1F02216-5-1;9.48;538.91;0;14.36;10.62;0;103.92;15.82;7.89;13.86;1;0.93;287.24;59.98;23.34;30.83;1.69;4.4;7.68;9.87;0.18;5.07;64.98;0;12.85;7.28;266.04;6.19;15.02;0.14
SF1F02248-5-1 Cluster_SF1F02152-3-1;1.27;0.64;0;3.1;0.93;0;0.48;2.08;1.18;0.88;1.45;0.93;0.9;0.62;1.24;0.74;1.36;1.8;0.94;1.62;0;1.44;1.47;0;1.59;0.97;0.73;2.57;1.22;0.09
SF1F02249-5-1;0.5;2.06;0;0.54;4.14;0;0.73;0.77;0.77;0.97;0.78;0.35;2.42;0.41;0.4;3.86;0.34;0.11;0.75;0.35;0;0.46;0.6;0;0.67;0.53;2.3;1.21;0.36;0.03
SF1F02254-5-1;1.35;4.57;0;2.07;5.18;0;3.8;1.56;2.44;2.6;3.56;1.59;4.63;4.13;0.4;5.26;5.42;1.17;2.35;1.2;0;2.11;2.75;0;1.44;4.53;3.86;0.75;2.56;0.19
SF1F02260-5-1 Cluster_SF1F00946-5-1;0;0;15.81;0;0;9.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.15;0;0;9.98;0;0;0;0;0;26.18
SF1F02263-5-1;0.08;305.06;0;3.74;24.4;0.19;180.62;7.25;7.78;26.44;2.98;4.08;235.6;252.14;34.48;20.61;2.19;0.36;19.53;0.49;0;8.61;33.3;0;10.37;10.04;349.91;1.94;15.38;0.08
SF1F02264-5-1;16.08;6.03;0;14.46;20.55;0;2.23;1.44;15.94;27.28;5.13;10.41;5.09;20.3;0.39;11.92;25.66;2.5;23.87;24.2;0.05;24;55.64;0;1.64;69.82;10.63;0.12;25.77;2.96
SF1F02269-5-1;0;0;0;0;16.2;0;0;0;0;0;2.78;1.66;0;0;0;3.27;1.37;10.16;0;0;0;0;1.97;0;0;0;0;5.23;2.24;1.61
SF1F02271-5-1 Cluster_SF1F02237-5-1;5.35;24.92;1.45;0.48;1.37;25.65;14.26;14.04;14.56;4.19;0;0;27.99;13.06;11.74;0.47;0.46;1.18;14.69;2.48;3;7.22;3.04;5.49;2.37;11.9;25.81;0.9;4.79;3.33
SF1F02283-5-1 Cluster_SF1F00443-3-1;172.37;330.99;0;224.07;213.54;0.59;754.34;626.71;768.17;210.18;56.46;4.76;421.45;496.22;274.06;45.12;64.91;81.41;139.17;393.32;1.76;130.47;222.49;0;162.56;158.35;474.69;105.97;324.37;31.78
SF1F02335-3-1 Cluster_SF1F02311-3-1;0.36;0.17;0;14.25;14.98;0;0;2.68;1.31;16.63;5.22;10.17;0.01;0;0.75;7.77;22.3;6.27;1.41;0.51;0;6.43;32.9;0;1.01;0.11;0.13;5.78;8.89;1.69
