EST;X688_arroz_1;X688_arroz_2;X688_arroz_3;X688_milho_1;X688_milho_2;X688_milho_3;CNPA_arroz_1;CNPA_arroz_2;CNPA_arroz_3;CNPA_milho_1;CNPA_milho_2;CNPA_milho_3;dieta_arroz_1;dieta_arroz_2;dieta_arroz_3;dieta_milho_1;dieta_milho_2;dieta_milho_3;fm993_arroz_1;fm993_arroz_2;fm993_arroz_3;fm993_milho_1;fm993_milho_2;fm993_milho_3;puita_arroz_1;puita_arroz_2;puita_arroz_3;puita_milho_1;puita_milho_2;puita_milho_3
SF1P02122-5-1;0;0;26.27;0;0;24.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.06;0.2;0;39.66;0;0;0;0;0;41.81
SF1P02123-5-1;162.14;111.73;0.13;158.63;92.6;0.11;79.44;113.86;132.85;135.2;135.84;232.39;110.69;85.88;171.63;90.1;159.19;200.95;144.61;158.14;0.8;159.95;133.58;0;175.08;115.52;95.05;192.2;141.74;11.49
SF1P02134-5-1;14.52;0;0;19.05;4.67;1.69;2.38;7.25;18.54;25.17;9.58;17.93;5.79;5.21;0;4.65;14.09;28.77;17.27;10.14;0;16.91;32.14;0;12.12;24.29;7.8;0;16.26;0
SF1P02136-5-1;3.88;11.66;0;1.73;7.14;0;8.72;1.13;2.93;3.67;1.68;3.52;6.01;5.95;2.96;6.55;4.7;1.91;2.39;1.42;0;3.42;3.03;0;1.35;2.42;6.88;2.98;2.69;0.51
SF1P02140-5-1;0;0;35.62;0;0;10.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84.79;0;0;10.33;0;0;0.15;0;0;78.27
SF1P02142-5-1;8.12;10.37;0;5.87;9.77;0.03;8.64;11.83;12.2;6.42;8.81;5.61;13.09;8.79;2.62;11.98;7.54;4.66;8.59;6.56;0;10.44;6.16;0;8.12;9.37;11.17;4.84;10.92;0.58
SF1P02147-5-1;1.15;0.8;0;3.1;1.46;0;0.69;1.6;0.95;1.87;3.28;2.3;0.42;0.74;1.3;1.11;2.23;5.13;1.55;0.82;0;1.45;1.81;0;1.98;0.91;0.61;4.35;3.03;0.29
SF1P02154-5-1;10.74;5.55;0.04;11.94;15.13;0;1.44;0.38;8.76;20.44;1.29;3.14;5.34;11.84;0.2;9.11;15.06;1.34;11.88;18.49;0.03;12.22;38.87;0;0.5;47.91;6.84;0.08;13.84;1.34
SF1P02159-5-1;4.68;1.94;0;3.84;4.16;0;1.16;0.35;7.75;8.1;1.29;1.69;2.49;8.96;0;2.18;7.92;0.74;7.63;8.24;0;5.47;12.38;0;0.95;27.39;3.14;0;6.97;0.59
SF1P02172-5-1;215.36;140.94;0;136.27;126.53;0;209.94;286.78;376.18;169.43;404.9;196.23;130.92;273.18;349.73;97.02;184.8;141.19;270.13;147.3;0;199.25;166.25;0;176.42;274.7;164.84;221.25;186.17;17.07
SF1P02176-5-1;0.9;0.97;0;2.37;1.18;0;1.2;2.65;1.44;1.88;2.43;0.93;0.72;1.07;2.25;0.56;1.11;0.33;1.04;1.43;0;1.43;0.49;0;4.34;1.13;0.53;2.52;1.08;0.08
SF1P02183-5-1;40.59;2.43;0;13.95;7.1;0;3.6;0.49;3.78;2;0.49;2;16.6;4.15;0.72;4.78;1.45;2.3;1.18;18.48;0.35;2.5;8.42;0;0.41;1.09;5.09;0.94;8.73;1.98
SF1P02186-5-1;0;0;2.57;0;0;2.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.25;0;0;3.08;0;0;0;0;0;3.27
SF1P02189-5-1;5.47;1.67;0;10.49;5.2;0;2.09;8.33;10.45;15.59;7.85;30.58;1.11;5.82;8.36;2.53;23.48;14.14;11.72;11.4;0;20.96;5.47;0;14.78;13.19;2.63;21.33;20.9;0.96
SF1P02195-5-1;9.51;4.23;0;12.44;8.57;0;2.67;1.29;14.15;15.97;4.96;9.7;3.59;15.03;0.85;5;20.2;4.1;17.27;18.51;0;18.05;29.17;0;0.69;44.01;5.07;0;16.79;1.37
SF1P02210-5-1;57.56;3.36;0;44.48;0.49;0.34;3.66;1.83;6.23;8.15;1.38;23.69;0.82;6.18;4.71;0.45;9.65;14.87;11.44;5.2;0;8.42;11.46;0;66.98;7.44;3.45;2.64;4.66;0.34
